,total_perc_change,new_case_count_sum,religion,civic,charitable,fraternal,union,voteage,local,state,federal,politicalacts,ethnic,ethnichpn,education,incomeequal,employ,genderincome,language,commu,nonelder
"Marshall County, Indiana",-0.048409778,892,0.11362755,0.081499994,0.3102493,0.33828998,0.4617284,0.5020905,0.16154802,0.047154106,0.036953848,0.33962265,0.8053051,0.69875544,0.5407332,0.5456621,0.56055367,0.109577656,0.87556523,0.8218912,0.9994292
"Seminole County, Florida",-0.048305762,15366,0.018891444,0.10866666,0.13296399,0.1598513,0.33580247,0.53386456,0.1454538,0.04673752,0.062358018,0.2670537,0.5408662,0.4573151,0.68329936,0.46118724,0.5859285,0.04947728,0.81088173,0.920832,0.99994594
"Lincoln County, North Carolina",-0.048291149,1815,0.120185554,0.05976666,0.27146813,0.2843866,0.36296296,0.549827,0.14273067,0.07528209,0.04819204,0.34687954,0.7492027,0.74118143,0.56619143,0.4931507,0.4936563,0.13690239,0.918781,0.9166484,0.99966383
"Branch County, Michigan",-0.047861999,1346,0.068891555,0.08693332,0.31440443,0.32527882,0.36049384,0.57051504,0.17977591,0.07550077,0.043879483,0.24528302,0.84042263,0.8411629,0.5824847,0.53881276,0.38177624,0.01679647,0.91785705,0.80074054,0.9994182
"Wilson County, Texas",-0.047823212,991,0.04510048,0.048899993,0.5290859,0.3457249,0.38518518,0.511681,0.2394719,0.13382603,0.20207195,0.467344,0.6346606,0.056840718,0.62118125,0.5821918,0.6032295,0.28045148,0.72816396,0.93275374,0.99939674
"Hamilton County, Indiana",-0.047593704,5106,0.020550374,0.10866666,0.58448756,0.14869888,0.74814814,0.4447107,0.13643841,0.04396467,0.056823574,0.37590712,0.7368505,0.87476075,0.5967413,0.5068493,0.7070358,0.043078125,0.904436,0.9484378,0.99993503
"Scott County, Minnesota",-0.04722869,4106,0.012095997,0.09236666,0.1731302,0.18587361,0.28395063,0.43899277,0.1330595,0.035804056,0.045737248,0.16255443,0.7170625,0.83669984,0.65784115,0.6255708,0.7312572,0.031139612,0.8784412,0.9483398,0.999885
"Pinellas County, Florida",-0.046928148,25379,0.019244831,0.10866666,0.4099723,0.302974,0.39012346,0.6172989,0.15682065,0.037940722,0.07480993,0.7590711,0.62372357,0.72569,0.65478617,0.41324198,0.48212227,0.034763932,0.8662945,0.8879208,0.99995875
"Genesee County, Michigan",-0.046838537,15409,0.048470393,0.10866666,0.2936288,0.38289964,0.491358,0.56161624,0.15947622,0.064031065,0.053829342,0.21770681,0.4797784,0.88612497,0.6588595,0.47031963,0.355248,0.072277725,0.96117204,0.8440915,0.99994254
"Hancock County, Mississippi",-0.046529677,933,0.056779407,0.07606666,0.39473686,0.37546468,0.44938272,0.56499493,0.19172025,0.09742416,0.20539214,0.3425254,0.7390045,0.87230855,0.64867616,0.5,0.42445216,0.07931912,0.9624472,0.77792335,0.9993355
